"hit_index","original_stage","phrase_priority_tier","reader_plaintext","gordon_plaintext","ciphertext","reader_reflector","reader_start_left_to_right","reader_rings_left_to_right","reader_active_pairs","gordon_tier","gordon_literal_state_index","gordon_reflector","gordon_rotors_left_to_right","gordon_start_left_to_right","gordon_rings_left_to_right","gordon_plugboard_pair_count","gordon_plugboard_pairs","verification_ciphertext"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4933699024","C","I IV III","PIU","ZGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3407045917","C","I III V","MTP","ATQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3418927969","C","I III V","NTP","BTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3430810021","C","I III V","OTP","CTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3442692073","C","I III V","PTP","DTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3454574125","C","I III V","QTP","ETQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3466456177","C","I III V","RTP","FTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3478338229","C","I III V","STP","GTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3490220281","C","I III V","TTP","HTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3502102333","C","I III V","UTP","ITQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3513984385","C","I III V","VTP","JTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3525866437","C","I III V","WTP","KTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3537748489","C","I III V","XTP","LTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3549630541","C","I III V","YTP","MTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3561512593","C","I III V","ZTP","NTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3573377069","C","I III V","ATP","OTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3585259121","C","I III V","BTP","PTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3597141173","C","I III V","CTP","QTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
"15","stage_b_preferred16","1","DEATHWASERASED","CHAOSORDERMIND","WPMBGTQXZCKRGR","B","GJM","MMM","AF GR","2","3609023225","C","I III V","DTP","RTQ","6","CX DR FO HY JT WZ","WPMBGTQXZCKRGR"
